date,GOOGL,isPartial
2008-01-01,86,False
2008-01-02,58,False
2008-01-03,61,False
2008-01-04,60,False
2008-01-05,76,False
2008-01-06,74,False
2008-01-07,68,False
2008-01-08,78,False
2008-01-09,75,False
2008-01-10,75,False
2008-01-11,75,False
2008-01-12,71,False
2008-01-13,82,False
2008-01-14,62,False
2008-01-15,69,False
2008-01-16,73,False
2008-01-17,60,False
2008-01-18,82,False
2008-01-19,89,False
2008-01-20,92,False
2008-01-21,73,False
2008-01-22,64,False
2008-01-23,78,False
2008-01-24,66,False
2008-01-25,69,False
2008-01-26,83,False
2008-01-27,84,False
2008-01-28,73,False
2008-01-29,68,False
2008-01-30,71,False
2008-01-31,75,False
2008-02-01,71,False
2008-02-02,84,False
2008-02-03,83,False
2008-02-04,79,False
2008-02-05,62,False
2008-02-06,75,False
2008-02-07,80,False
2008-02-08,71,False
2008-02-09,82,False
2008-02-10,72,False
2008-02-11,69,False
2008-02-12,64,False
2008-02-13,68,False
2008-02-14,64,False
2008-02-15,71,False
2008-02-16,78,False
2008-02-17,75,False
2008-02-18,70,False
2008-02-19,75,False
2008-02-20,74,False
2008-02-21,70,False
2008-02-22,82,False
2008-02-23,84,False
2008-02-24,85,False
2008-02-25,77,False
2008-02-26,75,False
2008-02-27,74,False
2008-02-28,66,False
2008-02-29,64,False
2008-03-01,79,False
2008-03-02,72,False
2008-03-03,73,False
2008-03-04,65,False
2008-03-05,72,False
2008-03-06,80,False
2008-03-07,76,False
2008-03-08,100,False
2008-03-09,88,False
2008-03-10,61,False
2008-03-11,67,False
2008-03-12,60,False
2008-03-13,69,False
2008-03-14,68,False
2008-03-15,82,False
2008-03-16,81,False
2008-03-17,76,False
2008-03-18,73,False
2008-03-19,67,False
2008-03-20,78,False
2008-03-21,64,False
2008-03-22,85,False
2008-03-23,74,False
2008-03-24,68,False
2008-03-25,63,False
2008-03-26,68,False
2008-03-27,57,False
2008-03-28,72,False
2008-03-29,81,False
2008-03-30,79,False
2008-03-31,68,False
2008-04-01,71,False
2008-04-02,81,False
2008-04-03,76,False
2008-04-04,71,False
2008-04-05,81,False
2008-04-06,75,False
2008-04-07,66,False
2008-04-08,66,False
2008-04-09,71,False
2008-04-10,73,False
