date,GOOG,isPartial
2008-01-01,30,False
2008-01-02,36,False
2008-01-03,36,False
2008-01-04,38,False
2008-01-05,31,False
2008-01-06,29,False
2008-01-07,36,False
2008-01-08,40,False
2008-01-09,43,False
2008-01-10,43,False
2008-01-11,39,False
2008-01-12,25,False
2008-01-13,23,False
2008-01-14,38,False
2008-01-15,41,False
2008-01-16,40,False
2008-01-17,40,False
2008-01-18,44,False
2008-01-19,28,False
2008-01-20,20,False
2008-01-21,26,False
2008-01-22,55,False
2008-01-23,53,False
2008-01-24,48,False
2008-01-25,53,False
2008-01-26,39,False
2008-01-27,27,False
2008-01-28,38,False
2008-01-29,42,False
2008-01-30,45,False
2008-01-31,67,False
2008-02-01,90,False
2008-02-02,54,False
2008-02-03,31,False
2008-02-04,58,False
2008-02-05,63,False
2008-02-06,50,False
2008-02-07,46,False
2008-02-08,45,False
2008-02-09,33,False
2008-02-10,33,False
2008-02-11,41,False
2008-02-12,43,False
2008-02-13,41,False
2008-02-14,43,False
2008-02-15,40,False
2008-02-16,33,False
2008-02-17,28,False
2008-02-18,29,False
2008-02-19,37,False
2008-02-20,42,False
2008-02-21,39,False
2008-02-22,38,False
2008-02-23,30,False
2008-02-24,32,False
2008-02-25,35,False
2008-02-26,60,False
2008-02-27,58,False
2008-02-28,46,False
2008-02-29,51,False
2008-03-01,39,False
2008-03-02,27,False
2008-03-03,39,False
2008-03-04,41,False
2008-03-05,42,False
2008-03-06,45,False
2008-03-07,47,False
2008-03-08,36,False
2008-03-09,29,False
2008-03-10,46,False
2008-03-11,51,False
2008-03-12,46,False
2008-03-13,41,False
2008-03-14,44,False
2008-03-15,31,False
2008-03-16,32,False
2008-03-17,53,False
2008-03-18,44,False
2008-03-19,45,False
2008-03-20,45,False
2008-03-21,37,False
2008-03-22,31,False
2008-03-23,27,False
2008-03-24,42,False
2008-03-25,43,False
2008-03-26,40,False
2008-03-27,41,False
2008-03-28,44,False
2008-03-29,35,False
2008-03-30,30,False
2008-03-31,37,False
2008-04-01,38,False
2008-04-02,43,False
2008-04-03,43,False
2008-04-04,38,False
2008-04-05,33,False
2008-04-06,31,False
2008-04-07,40,False
2008-04-08,36,False
2008-04-09,42,False
2008-04-10,39,False
2008-04-11,40,False
2008-04-12,30,False
2008-04-13,28,False
2008-04-14,35,False
2008-04-15,40,False
2008-04-16,39,False
2008-04-17,66,False
2008-04-18,100,False
2008-04-19,48,False
2008-04-20,33,False
2008-04-21,50,False
2008-04-22,49,False
2008-04-23,45,False
2008-04-24,47,False
2008-04-25,41,False
2008-04-26,33,False
2008-04-27,29,False
2008-04-28,39,False
2008-04-29,35,False
2008-04-30,41,False
2008-05-01,44,False
2008-05-02,47,False
2008-05-03,35,False
2008-05-04,31,False
2008-05-05,44,False
2008-05-06,48,False
2008-05-07,45,False
2008-05-08,43,False
2008-05-09,44,False
2008-05-10,30,False
2008-05-11,35,False
2008-05-12,41,False
2008-05-13,38,False
2008-05-14,37,False
2008-05-15,40,False
2008-05-16,41,False
2008-05-17,30,False
2008-05-18,30,False
2008-05-19,36,False
2008-05-20,37,False
2008-05-21,38,False
2008-05-22,41,False
2008-05-23,33,False
2008-05-24,26,False
2008-05-25,27,False
2008-05-26,24,False
2008-05-27,36,False
2008-05-28,38,False
2008-05-29,35,False
2008-05-30,38,False
2008-05-31,29,False
2008-06-01,26,False
2008-06-02,35,False
2008-06-03,35,False
2008-06-04,37,False
2008-06-05,39,False
2008-06-06,36,False
2008-06-07,28,False
2008-06-08,25,False
2008-06-09,35,False
2008-06-10,35,False
2008-06-11,35,False
2008-06-12,34,False
2008-06-13,41,False
