date,CDNS,isPartial
2008-07-01,0,False
2008-07-02,0,False
2008-07-03,0,False
2008-07-04,0,False
2008-07-05,0,False
2008-07-06,0,False
2008-07-07,0,False
2008-07-08,0,False
2008-07-09,0,False
2008-07-10,0,False
2008-07-11,0,False
2008-07-12,0,False
2008-07-13,0,False
2008-07-14,0,False
2008-07-15,0,False
2008-07-16,0,False
2008-07-17,0,False
2008-07-18,0,False
2008-07-19,0,False
2008-07-20,0,False
2008-07-21,0,False
2008-07-22,0,False
2008-07-23,0,False
2008-07-24,0,False
2008-07-25,0,False
2008-07-26,0,False
2008-07-27,0,False
2008-07-28,0,False
2008-07-29,0,False
2008-07-30,0,False
2008-07-31,0,False
2008-08-01,0,False
2008-08-02,0,False
2008-08-03,0,False
2008-08-04,100,False
2008-08-05,0,False
2008-08-06,0,False
2008-08-07,0,False
2008-08-08,0,False
2008-08-09,0,False
2008-08-10,0,False
2008-08-11,0,False
2008-08-12,0,False
2008-08-13,0,False
2008-08-14,0,False
2008-08-15,0,False
2008-08-16,0,False
2008-08-17,0,False
2008-08-18,0,False
2008-08-19,0,False
2008-08-20,0,False
2008-08-21,0,False
2008-08-22,0,False
2008-08-23,0,False
2008-08-24,0,False
2008-08-25,0,False
2008-08-26,0,False
2008-08-27,81,False
2008-08-28,0,False
2008-08-29,0,False
2008-08-30,0,False
2008-08-31,0,False
2008-09-01,0,False
2008-09-02,0,False
2008-09-03,0,False
2008-09-04,0,False
2008-09-05,0,False
2008-09-06,0,False
2008-09-07,0,False
2008-09-08,0,False
2008-09-09,0,False
2008-09-10,0,False
2008-09-11,0,False
2008-09-12,0,False
2008-09-13,0,False
2008-09-14,0,False
2008-09-15,0,False
2008-09-16,0,False
2008-09-17,0,False
2008-09-18,0,False
2008-09-19,0,False
2008-09-20,0,False
2008-09-21,0,False
2008-09-22,0,False
2008-09-23,0,False
2008-09-24,0,False
2008-09-25,0,False
2008-09-26,0,False
2008-09-27,0,False
2008-09-28,0,False
2008-09-29,0,False
2008-09-30,0,False
2008-10-01,0,False
2008-10-02,0,False
2008-10-03,0,False
2008-10-04,0,False
2008-10-05,0,False
2008-10-06,0,False
2008-10-07,0,False
2008-10-08,0,False
2008-10-09,0,False
2008-10-10,0,False
2008-10-11,0,False
2008-10-12,0,False
2008-10-13,0,False
2008-10-14,0,False
2008-10-15,0,False
2008-10-16,0,False
2008-10-17,0,False
2008-10-18,0,False
