date,META,isPartial
2008-01-01,85,False
2008-01-02,78,False
2008-01-03,80,False
2008-01-04,85,False
2008-01-05,78,False
2008-01-06,78,False
2008-01-07,79,False
2008-01-08,88,False
2008-01-09,87,False
2008-01-10,87,False
2008-01-11,83,False
2008-01-12,75,False
2008-01-13,81,False
2008-01-14,76,False
2008-01-15,84,False
2008-01-16,85,False
2008-01-17,91,False
2008-01-18,81,False
2008-01-19,76,False
2008-01-20,83,False
2008-01-21,89,False
2008-01-22,87,False
2008-01-23,85,False
2008-01-24,88,False
2008-01-25,87,False
2008-01-26,72,False
2008-01-27,81,False
2008-01-28,90,False
2008-01-29,85,False
2008-01-30,85,False
2008-01-31,92,False
2008-02-01,85,False
2008-02-02,79,False
2008-02-03,75,False
2008-02-04,78,False
2008-02-05,84,False
2008-02-06,93,False
2008-02-07,89,False
2008-02-08,86,False
2008-02-09,76,False
2008-02-10,88,False
2008-02-11,88,False
2008-02-12,89,False
2008-02-13,89,False
2008-02-14,91,False
2008-02-15,90,False
2008-02-16,77,False
2008-02-17,81,False
2008-02-18,80,False
2008-02-19,81,False
2008-02-20,87,False
2008-02-21,95,False
2008-02-22,77,False
2008-02-23,76,False
2008-02-24,86,False
2008-02-25,87,False
2008-02-26,90,False
2008-02-27,83,False
2008-02-28,89,False
2008-02-29,81,False
2008-03-01,85,False
2008-03-02,73,False
2008-03-03,91,False
2008-03-04,87,False
2008-03-05,89,False
2008-03-06,90,False
2008-03-07,92,False
2008-03-08,75,False
2008-03-09,78,False
2008-03-10,89,False
2008-03-11,90,False
2008-03-12,96,False
2008-03-13,92,False
2008-03-14,90,False
2008-03-15,89,False
2008-03-16,83,False
2008-03-17,86,False
2008-03-18,92,False
2008-03-19,87,False
2008-03-20,85,False
2008-03-21,80,False
2008-03-22,79,False
2008-03-23,77,False
2008-03-24,86,False
2008-03-25,91,False
2008-03-26,90,False
2008-03-27,100,False
2008-03-28,86,False
2008-03-29,85,False
2008-03-30,81,False
2008-03-31,83,False
2008-04-01,98,False
2008-04-02,94,False
2008-04-03,92,False
2008-04-04,89,False
2008-04-05,84,False
2008-04-06,79,False
2008-04-07,81,False
2008-04-08,82,False
2008-04-09,98,False
2008-04-10,95,False
2008-04-11,91,False
2008-04-12,78,False
2008-04-13,76,False
2008-04-14,85,False
2008-04-15,85,False
2008-04-16,92,False
2008-04-17,100,False
2008-04-18,92,False
2008-04-19,85,False
2008-04-20,82,False
2008-04-21,82,False
2008-04-22,88,False
2008-04-23,89,False
2008-04-24,98,False
2008-04-25,87,False
2008-04-26,86,False
2008-04-27,79,False
2008-04-28,87,False
2008-04-29,86,False
2008-04-30,82,False
