date,AEP,isPartial
2008-01-01,29,False
2008-01-02,74,False
2008-01-03,60,False
2008-01-04,69,False
2008-01-05,46,False
2008-01-06,39,False
2008-01-07,64,False
2008-01-08,63,False
2008-01-09,75,False
2008-01-10,67,False
2008-01-11,56,False
2008-01-12,51,False
2008-01-13,48,False
2008-01-14,52,False
2008-01-15,68,False
2008-01-16,53,False
2008-01-17,74,False
2008-01-18,57,False
2008-01-19,36,False
2008-01-20,41,False
2008-01-21,61,False
2008-01-22,71,False
2008-01-23,77,False
2008-01-24,70,False
2008-01-25,72,False
2008-01-26,40,False
2008-01-27,40,False
2008-01-28,72,False
2008-01-29,72,False
2008-01-30,74,False
2008-01-31,85,False
2008-02-01,58,False
2008-02-02,51,False
2008-02-03,40,False
2008-02-04,85,False
2008-02-05,53,False
2008-02-06,79,False
2008-02-07,56,False
2008-02-08,78,False
2008-02-09,39,False
2008-02-10,52,False
2008-02-11,92,False
2008-02-12,72,False
2008-02-13,60,False
2008-02-14,83,False
2008-02-15,72,False
2008-02-16,56,False
2008-02-17,51,False
2008-02-18,68,False
2008-02-19,63,False
2008-02-20,55,False
2008-02-21,66,False
2008-02-22,70,False
2008-02-23,39,False
2008-02-24,46,False
2008-02-25,46,False
2008-02-26,59,False
2008-02-27,57,False
2008-02-28,63,False
2008-02-29,69,False
2008-03-01,38,False
2008-03-02,48,False
2008-03-03,72,False
2008-03-04,78,False
2008-03-05,67,False
2008-03-06,52,False
2008-03-07,63,False
2008-03-08,49,False
2008-03-09,32,False
2008-03-10,57,False
2008-03-11,62,False
2008-03-12,65,False
2008-03-13,65,False
2008-03-14,73,False
2008-03-15,63,False
2008-03-16,47,False
2008-03-17,61,False
2008-03-18,67,False
2008-03-19,60,False
2008-03-20,62,False
2008-03-21,56,False
2008-03-22,40,False
2008-03-23,45,False
2008-03-24,64,False
2008-03-25,100,False
2008-03-26,78,False
2008-03-27,95,False
2008-03-28,54,False
2008-03-29,36,False
2008-03-30,45,False
2008-03-31,80,False
2008-04-01,77,False
2008-04-02,76,False
2008-04-03,75,False
2008-04-04,73,False
2008-04-05,47,False
2008-04-06,46,False
2008-04-07,76,False
2008-04-08,69,False
2008-04-09,70,False
2008-04-10,65,False
2008-04-11,71,False
2008-04-12,42,False
2008-04-13,43,False
2008-04-14,69,False
2008-04-15,68,False
2008-04-16,68,False
2008-04-17,55,False
2008-04-18,62,False
2008-04-19,27,False
2008-04-20,44,False
2008-04-21,56,False
2008-04-22,83,False
2008-04-23,63,False
2008-04-24,44,False
2008-04-25,66,False
2008-04-26,47,False
2008-04-27,45,False
2008-04-28,64,False
2008-04-29,49,False
2008-04-30,63,False
2008-05-01,52,False
2008-05-02,57,False
2008-05-03,45,False
2008-05-04,37,False
2008-05-05,74,False
2008-05-06,64,False
2008-05-07,65,False
2008-05-08,79,False
2008-05-09,65,False
2008-05-10,22,False
2008-05-11,50,False
2008-05-12,77,False
2008-05-13,69,False
2008-05-14,65,False
2008-05-15,75,False
2008-05-16,63,False
2008-05-17,51,False
2008-05-18,35,False
2008-05-19,78,False
2008-05-20,86,False
2008-05-21,67,False
2008-05-22,81,False
2008-05-23,62,False
2008-05-24,27,False
2008-05-25,29,False
2008-05-26,57,False
2008-05-27,67,False
2008-05-28,87,False
2008-05-29,80,False
2008-05-30,73,False
2008-05-31,42,False
2008-06-01,37,False
2008-06-02,84,False
2008-06-03,73,False
2008-06-04,65,False
2008-06-05,65,False
2008-06-06,55,False
2008-06-07,41,False
2008-06-08,50,False
2008-06-09,75,False
2008-06-10,80,False
2008-06-11,54,False
2008-06-12,72,False
2008-06-13,73,False
2008-06-14,37,False
2008-06-15,28,False
2008-06-16,62,False
2008-06-17,65,False
2008-06-18,77,False
2008-06-19,67,False
2008-06-20,75,False
2008-06-21,36,False
2008-06-22,27,False
2008-06-23,83,False
2008-06-24,66,False
2008-06-25,61,False
2008-06-26,65,False
2008-06-27,70,False
2008-06-28,54,False
2008-06-29,31,False
2008-06-30,69,False
2008-07-01,17,False
2008-07-02,21,False
2008-07-03,17,False
2008-07-04,9,False
2008-07-05,10,False
2008-07-06,0,False
2008-07-07,17,False
2008-07-08,16,False
2008-07-09,18,False
2008-07-10,16,False
2008-07-11,17,False
2008-07-12,11,False
2008-07-13,12,False
2008-07-14,12,False
2008-07-15,16,False
2008-07-16,16,False
2008-07-17,17,False
2008-07-18,17,False
2008-07-19,10,False
2008-07-20,8,False
2008-07-21,17,False
2008-07-22,20,False
2008-07-23,20,False
2008-07-24,19,False
2008-07-25,21,False
2008-07-26,14,False
2008-07-27,14,False
2008-07-28,22,False
2008-07-29,12,False
2008-07-30,14,False
2008-07-31,20,False
2008-08-01,20,False
2008-08-02,11,False
2008-08-03,10,False
2008-08-04,17,False
2008-08-05,19,False
2008-08-06,13,False
2008-08-07,14,False
2008-08-08,17,False
2008-08-09,13,False
2008-08-10,10,False
2008-08-11,15,False
2008-08-12,14,False
2008-08-13,19,False
2008-08-14,18,False
2008-08-15,13,False
2008-08-16,7,False
2008-08-17,9,False
2008-08-18,17,False
2008-08-19,15,False
2008-08-20,18,False
2008-08-21,14,False
2008-08-22,15,False
2008-08-23,9,False
2008-08-24,10,False
2008-08-25,17,False
2008-08-26,18,False
2008-08-27,20,False
2008-08-28,15,False
2008-08-29,18,False
2008-08-30,9,False
2008-08-31,11,False
2008-09-01,11,False
2008-09-02,21,False
2008-09-03,23,False
2008-09-04,22,False
2008-09-05,15,False
2008-09-06,10,False
2008-09-07,10,False
2008-09-08,16,False
2008-09-09,18,False
2008-09-10,15,False
2008-09-11,16,False
2008-09-12,17,False
2008-09-13,10,False
2008-09-14,17,False
2008-09-15,100,False
2008-09-16,62,False
2008-09-17,60,False
2008-09-18,37,False
2008-09-19,32,False
2008-09-20,14,False
2008-09-21,10,False
2008-09-22,18,False
2008-09-23,17,False
2008-09-24,16,False
2008-09-25,18,False
2008-09-26,15,False
2008-09-27,10,False
2008-09-28,8,False
2008-09-29,19,False
2008-09-30,19,False
2008-10-01,18,False
2008-10-02,16,False
2008-10-03,18,False
2008-10-04,12,False
2008-10-05,11,False
2008-10-06,17,False
2008-10-07,17,False
2008-10-08,17,False
2008-10-09,17,False
2008-10-10,13,False
2008-10-11,11,False
2008-10-12,8,False
2008-10-13,16,False
2008-10-14,22,False
2008-10-15,17,False
2008-10-16,14,False
2008-10-17,18,False
2008-10-18,11,False
2008-10-19,10,False
2008-10-20,18,False
2008-10-21,14,False
2008-10-22,17,False
2008-10-23,17,False
2008-10-24,17,False
2008-10-25,11,False
2008-10-26,10,False
2008-10-27,15,False
2008-10-28,19,False
2008-10-29,16,False
2008-10-30,15,False
2008-10-31,16,False
2008-11-01,12,False
2008-11-02,11,False
2008-11-03,16,False
2008-11-04,16,False
2008-11-05,15,False
2008-11-06,17,False
2008-11-07,22,False
2008-11-08,12,False
2008-11-09,11,False
2008-11-10,17,False
2008-11-11,14,False
2008-11-12,16,False
2008-11-13,11,False
2008-11-14,15,False
2008-11-15,8,False
2008-11-16,10,False
2008-11-17,18,False
2008-11-18,16,False
2008-11-19,14,False
2008-11-20,19,False
2008-11-21,13,False
2008-11-22,8,False
2008-11-23,9,False
2008-11-24,12,False
2008-11-25,16,False
2008-11-26,14,False
2008-11-27,12,False
2008-11-28,13,False
2008-11-29,7,False
2008-11-30,12,False
2008-12-01,14,False
