date,ADBE,isPartial
2008-01-01,0,False
2008-01-02,0,False
2008-01-03,51,False
2008-01-04,47,False
2008-01-05,0,False
2008-01-06,0,False
2008-01-07,0,False
2008-01-08,41,False
2008-01-09,65,False
2008-01-10,44,False
2008-01-11,47,False
2008-01-12,62,False
2008-01-13,0,False
2008-01-14,47,False
2008-01-15,75,False
2008-01-16,58,False
2008-01-17,58,False
2008-01-18,49,False
2008-01-19,0,False
2008-01-20,73,False
2008-01-21,43,False
2008-01-22,64,False
2008-01-23,0,False
2008-01-24,51,False
2008-01-25,49,False
2008-01-26,0,False
2008-01-27,0,False
2008-01-28,42,False
2008-01-29,57,False
2008-01-30,66,False
2008-01-31,67,False
2008-02-01,74,False
2008-02-02,0,False
2008-02-03,72,False
2008-02-04,0,False
2008-02-05,0,False
2008-02-06,41,False
2008-02-07,0,False
2008-02-08,70,False
2008-02-09,57,False
2008-02-10,57,False
2008-02-11,46,False
2008-02-12,70,False
2008-02-13,0,False
2008-02-14,61,False
2008-02-15,56,False
2008-02-16,83,False
2008-02-17,75,False
2008-02-18,54,False
2008-02-19,73,False
2008-02-20,93,False
2008-02-21,54,False
2008-02-22,69,False
2008-02-23,0,False
2008-02-24,66,False
2008-02-25,67,False
2008-02-26,65,False
2008-02-27,75,False
2008-02-28,42,False
2008-02-29,45,False
2008-03-01,0,False
2008-03-02,63,False
2008-03-03,0,False
2008-03-04,100,False
2008-03-05,47,False
2008-03-06,49,False
2008-03-07,56,False
2008-03-08,63,False
2008-03-09,52,False
2008-03-10,61,False
2008-03-11,48,False
2008-03-12,47,False
2008-03-13,46,False
2008-03-14,81,False
2008-03-15,53,False
2008-03-16,0,False
2008-03-17,47,False
2008-03-18,98,False
2008-03-19,92,False
2008-03-20,0,False
2008-03-21,65,False
2008-03-22,86,False
2008-03-23,60,False
2008-03-24,44,False
2008-03-25,56,False
2008-03-26,64,False
2008-03-27,44,False
2008-03-28,40,False
2008-03-29,0,False
2008-03-30,63,False
2008-03-31,43,False
2008-04-01,69,False
2008-04-02,42,False
2008-04-03,54,False
2008-04-04,44,False
2008-04-05,74,False
2008-04-06,0,False
2008-04-07,50,False
2008-04-08,44,False
2008-04-09,0,False
2008-04-10,62,False
2008-04-11,78,False
2008-04-12,0,False
2008-04-13,0,False
2008-04-14,51,False
2008-04-15,74,False
2008-04-16,66,False
2008-04-17,56,False
2008-04-18,63,False
2008-04-19,0,False
2008-04-20,0,False
2008-04-21,0,False
2008-04-22,41,False
2008-04-23,54,False
2008-04-24,0,False
2008-04-25,56,False
2008-04-26,60,False
2008-04-27,67,False
2008-04-28,0,False
2008-04-29,49,False
2008-04-30,66,False
2008-05-01,0,False
2008-05-02,66,False
2008-05-03,0,False
2008-05-04,0,False
2008-05-05,0,False
2008-05-06,56,False
2008-05-07,75,False
2008-05-08,70,False
2008-05-09,59,False
2008-05-10,55,False
2008-05-11,0,False
2008-05-12,62,False
2008-05-13,60,False
2008-05-14,0,False
2008-05-15,0,False
2008-05-16,65,False
2008-05-17,0,False
2008-05-18,0,False
2008-05-19,65,False
2008-05-20,64,False
2008-05-21,88,False
2008-05-22,51,False
2008-05-23,53,False
2008-05-24,0,False
2008-05-25,0,False
2008-05-26,0,False
2008-05-27,48,False
2008-05-28,42,False
2008-05-29,52,False
2008-05-30,0,False
2008-05-31,0,False
2008-06-01,0,False
2008-06-02,52,False
2008-06-03,73,False
2008-06-04,55,False
2008-06-05,80,False
2008-06-06,57,False
